;level;code;name;tids;prev
0;Species;S0;Lumbricidae_Allolobophora_chaetophora;[112];9
1;Sub_species;S1;Lumbricidae_Allolobophora_bartoli_bartoli;[121];13
2;Variety;S2;Lumbricidae_Allolobophora_chlorotica_chlorotica_cleucotype;[33];274
3;Variety;S3;Lumbricidae_Allolobophora_chlorotica_chlorotica_cchlorotype;[34];202
4;Variety;S4;Lumbricidae_Allolobophora_chlorotica_chlorotica_indeterminee;[35];74
5;Variety;S5;Lumbricidae_Allolobophora_chlorotica_postepheba_pleucotype;[36];39
6;Variety;S6;Lumbricidae_Allolobophora_chlorotica_postepheba_pchlorotype;[37];7
7;Variety;S7;Lumbricidae_Allolobophora_chlorotica_postepheba_inter;[38];8
8;Sub_species;S8;Lumbricidae_Allolobophora_chlorotica_waldensis;[39];17
9;Species;S9;Lumbricidae_Allolobophora_cupulifera;[108];60
10;Species;S10;Lumbricidae_Allolobophora_oculata;[109];13
11;Species;S11;Lumbricidae_Allolobophora_georgii;[107];8
12;Species;S12;Lumbricidae_Allolobophora_icterica;[41];184
13;Species;S13;Lumbricidae_Allolobophora_rosea;[104];507
14;Species;S14;Lumbricidae_Allolobophora_ligrum;[116];14
15;Species;S15;Lumbricidae_Allolobophora_muldali;[120];54
16;Sub_species;S16;Lumbricidae_Allolobophora_antipai_antipai;[118];42
17;Sub_species;S17;Lumbricidae_Allolobophora_antipai_tuberculata;[117];8
18;Species;S18;Lumbricidae_Allolobophora_atlantica;[113];11
19;Species;S19;Lumbricidae_Allolobophora_graffi;[110];6
20;Species;S20;Lumbricidae_Allolobophora_others;[132, 106, 124, 105, 131, 123, 114, 115, 111];13
21;Species;S21;Lumbricidae_Dendrobaena_pygmea;[93];8
22;Species;S22;Lumbricidae_Dendrobaena_attemsi;[94];27
23;Species;S23;Lumbricidae_Dendrobaena_octaedra;[92];69
24;Sub_species;S24;Lumbricidae_Dendrobaena_rubida_rubida;[101];12
25;Sub_species;S25;Lumbricidae_Dendrobaena_rubida_tenuis;[102];57
26;Sub_species;S26;Lumbricidae_Dendrobaena_subrubicunda_rivulicola;[103];43
27;Species;S27;Lumbricidae_Dendrobaena_mammalis;[98];146
28;Species;S28;Lumbricidae_Dendrobaena_others;[100, 95, 99, 96, 97];12
29;Species;S29;Lumbricidae_Nicodrilus_arvernus;[74];7
30;Sub_species;S30;Lumbricidae_Nicodrilus_caliginosus_alternisetosus;[68];22
31;Sub_species;S31;Lumbricidae_Nicodrilus_caliginosus_caliginosus;[67];718
32;Sub_species;S32;Lumbricidae_Nicodrilus_caliginosus_meridionalis;[69];210
33;Sub_species;S33;Lumbricidae_Nicodrilus_nocturnus_nocturnus;[70];166
34;Sub_species;S34;Lumbricidae_Nicodrilus_nocturnus_cistercianus;[127];79
35;Variety;S35;Lumbricidae_Nicodrilus_terrestris_terrestris_terrestris;[60];100
36;Variety;S36;Lumbricidae_Nicodrilus_terrestris_terrestris_lemovicus;[128];56
37;Variety;S37;Lumbricidae_Nicodrilus_terrestris_terrestris_eduensis;[129];7
38;Sub_species;S38;Lumbricidae_Nicodrilus_terrestris_voconcus;[61];11
39;Variety;S39;Lumbricidae_Nicodrilus_longus_longus_ambiguus;[62];175
40;Variety;S40;Lumbricidae_Nicodrilus_longus_longus_others;[63, 64];7
41;Variety;S41;Lumbricidae_Nicodrilus_longus_ripicola_viridis;[65];48
42;Variety;S42;Lumbricidae_Nicodrilus_longus_ripicola_ripicola;[66];11
43;Species;S43;Lumbricidae_Nicodrilus_others;[71, 73, 72];8
44;Species;S44;Lumbricidae_Eisenia_eiseni;[91];23
45;Sub_species;S45;Lumbricidae_Eisenia_fetida_fetida;[89];11
